MANIFEST IDENTIFER NUMBER,SHIP NAME,CODE FOR SHIP PORT OF EMBARKATION,SHIP ARRIVAL DATE,NUMBER OF CORRESPONDING PASSENGERS
1189,NEW YORK,4,07-13-1846,341
1190,MILLICETE,4,07-13-1846,272
1191,INDEPENDENCE,4,07-14-1846,230
1192,FRANCONIA,4,12-14-1846,181
1193,PANTHEA,4,12-12-1846,256
1194,UNITED KINGDOM,4,07-14-1846,470
1196,SHERIDAN,4,12-15-1846,149
1197,GAZELLE,147,12-17-1846,4
1199,PONTIAC,4,12-21-1846,104
2000,OCEAN,4,07-14-1846,229
2001,PRINCE HENRY,162,07-14-1846,2
2002,MIRACLE,4,07-14-1846,225
2003,SIDDONS,4,07-20-1846,352
2004,CHAOS,4,01-02-1847,167
2005,AFFGHAN,2,07-20-1846,6
2006,MARGARET EVANS,61,07-20-1846,4
2007,WESTMINSTER,61,04-02-1847,16
2009,CHARLEMAGNE,4,07-23-1846,210
2010,HOWARD,4,07-23-1846,158
2011,ELSINORE,4,12-22-1846,235
2012,YORKSHIRE,4,04-01-1847,392
2013,GREAT BRITAIN,4,07-21-1846,6
2015,YUCATAN,4,07-22-1846,248
2021,SOUTHERNER,4,12-26-1846,267
2022,HENRY CLAY,4,12-26-1846,267
2025,YORKSHIRE,4,07-31-1846,360
2028,SARDINIA,4,02-06-1847,119
2029,HYNDERFORD,6,02-08-1847,1
2030,NICHOLAS BIDDLE,4,02-09-1847,42
2031,GLENMORE,18,02-09-1847,181
2033,COLONIST,4,04-03-1847,267
2034,COLUMBIA,4,07-31-1846,367
2035,OXFORD,4,12-26-1846,244
2036,INDIANA,4,01-04-1847,58
2037,KALAMAZOO,4,12-28-1846,270
2038,BURLINGTON,4,04-03-1847,246
2039,VIRGINIAN,4,12-29-1846,174
2040,SARAH SANDS,4,02-11-1847,15
2041,JOSEPHINE,35,06-01-1847,45
2042,WRENHAM,18,06-01-1847,209
2043,TALLERAND,6,06-01-1847,76
2044,SAMUEL HICKS,4,01-04-1847,72
2046,ELIZA,155,02-15-1847,1
2048,WATERLOO,4,02-19-1847,93
2049,MONTEZUMA,4,02-20-1847,67
2050,CAMBRIDGE,4,01-04-1847,271
2051,INDEPENDENCE,61,02-20-1847,15
2052,NEW WORLD,4,02-22-1847,311
2054,ROSCIUS,4,02-23-1847,297
2055,ORPHAN,4,12-30-1846,195
2057,BROTHERS,53,04-05-1847,188
2058,MAY T RUNLET,46,04-05-1847,114
2059,MARY H KENDALL,0,06-01-1847,29
2060,CEYLON,4,06-01-1847,296
2071,LORD ASHBURTON,4,06-01-1847,278
2073,PATRICK HENRY,4,04-05-1847,347
2074,ADAM LODGE,4,06-02-1847,222
2075,NEW YORK,4,04-05-1847,344
2076,BIRKINHEAD,4,06-02-1847,290
2077,AILSA,3,06-03-1847,86
2078,ABBY PRATT,4,06-03-1847,205
2079,FIDELIA,4,02-23-1847,206
2080,EUROPE,4,02-24-1847,213
2081,JUNO,4,06-03-1847,250
2082,HYNDERFORD,4,02-24-1847,59
2082,HYNDERFORD,6,06-04-1847,164
2084,MARMION,4,02-24-1847,248
2105,HELENA,4,06-04-1847,126
2106,AERIEL,165,06-04-1847,57
2107,JANE,4,06-04-1847,129
2110,NEW WORLD,4,06-07-1847,539
2111,GASPER,46,06-08-1847,48
2113,ENTERPRISE,4,10-08-1847,11
2115,JOSEPH HOWE,70,10-11-1847,3
2117,ABBY PRATT,4,10-15-1847,159
2119,RICHARD WATSON,106,01-05-1847,113
2120,ZENOBIA,4,04-06-1847,247
2121,LEVERETT,165,06-07-1847,37
2122,NORTHUMBERLAND,61,04-06-1847,62
2123,TASSIE,35,06-08-1847,102
2124,FIDELIA,4,10-06-1847,185
2125,ASHBURTON,4,02-26-1847,381
2126,COXON,46,06-08-1847,108
2127,EUROPE,4,10-18-1847,56
2129,BROOKSBY,6,02-27-1847,18
2131,ADAM CARR,6,02-27-1847,10
2132,F MATHEWS,106,02-27-1847,30
2133,CARTHAGE,4,06-09-1847,166
2134,JAMES REDDON,4,06-09-1847,85
2136,FALCON,60,02-27-1847,1
2138,THARTUS,18,03-01-1847,63
2140,AGINA,167,03-03-1847,1
2141,FLORA,26,03-08-1847,1
2145,ELSINORE,4,10-21-1847,207
2146,HENDRIK HUDSON,61,03-09-1847,20
2147,ABERFOIL,4,03-11-1847,192
2148,EMPIRE,4,04-07-1847,417
2149,WINDSOR CASTLE,4,06-09-1847,250
2150,JAMES,59,06-09-1847,106
2151,OHIO,4,03-12-1847,174
2155,ROSE,155,03-18-1847,3
2156,MARGARET EVANS,61,03-23-1847,10
2157,SEA OF NEW YORK,4,03-23-1847,312
2158,LIVERPOOL,4,04-07-1847,419
2159,ORIZABA,4,06-10-1847,270
2160,CEYLON,4,06-10-1847,253
2161,SARAH BOYCE,106,06-10-1847,134
2162,M LIVINGSTON,4,10-21-1847,251
2163,OCEAN,16,10-22-1847,3
2164,BAVARIA,4,06-10-1847,214
2165,FRANKLIN,0,06-11-1847,73
2166,TENNESSEE,18,06-11-1847,182
2168,COLUMBIANA,4,10-22-1847,192
2169,HINDOSTAN,4,06-11-1847,159
2170,GOLCONDA,52,06-12-1847,87
2171,CALYPSO,46,06-15-1847,152
2172,MORGIANA,46,06-15-1847,76
2173,ADIRONDACK,4,01-07-1847,279
2175,SHAMROCK,134,06-16-1847,146
2176,FINLAND,4,03-25-1847,191
2177,METOKA,4,01-07-1847,156
2179,SIDDONS,4,03-31-1847,355
